,Date,Open,High,Low,Close,Volume,6
0,2022-08-16T09:15:00+0530,2646.2,2648.95,2640.05,2643.05,85045,0
1,2022-08-16T09:16:00+0530,2643.05,2643.5,2635,2635.95,44747,0
2,2022-08-16T09:17:00+0530,2635.45,2639.95,2635,2638,40996,0
3,2022-08-16T09:18:00+0530,2638,2641.15,2635.55,2641.05,23159,0
4,2022-08-16T09:19:00+0530,2640.65,2640.65,2638,2640,20032,0
5,2022-08-16T09:20:00+0530,2640.2,2642,2638.6,2641.85,17895,0
6,2022-08-16T09:21:00+0530,2641.6,2645.8,2641.6,2644.25,32542,0
7,2022-08-16T09:22:00+0530,2643.75,2646.85,2642.3,2645.95,19746,0
8,2022-08-16T09:23:00+0530,2645.55,2648.3,2643.3,2644.3,31793,0
9,2022-08-16T09:24:00+0530,2643.3,2644,2642,2643,12669,0
10,2022-08-16T09:25:00+0530,2643,2646.65,2642.6,2643.3,17472,0
11,2022-08-16T09:26:00+0530,2643,2643.3,2640.2,2642.3,16938,0
12,2022-08-16T09:27:00+0530,2642.3,2642.3,2639.1,2639.1,18899,0
13,2022-08-16T09:28:00+0530,2639.1,2641.85,2639.05,2640.65,13241,0
14,2022-08-16T09:29:00+0530,2640.45,2641,2639,2639,12578,0
15,2022-08-16T09:30:00+0530,2639,2640.4,2639,2640.4,11373,0
16,2022-08-16T09:31:00+0530,2641.3,2641.3,2636.75,2636.75,18476,0
17,2022-08-16T09:32:00+0530,2637,2639.4,2636.6,2638.35,17092,0
18,2022-08-16T09:33:00+0530,2638.95,2641.3,2637.6,2641.05,12448,0
19,2022-08-16T09:34:00+0530,2641.1,2641.7,2638.1,2641.15,16796,0
20,2022-08-16T09:35:00+0530,2641.15,2644.9,2641.15,2643.5,14261,0
21,2022-08-16T09:36:00+0530,2644.25,2647,2643.65,2644,22658,0
22,2022-08-16T09:37:00+0530,2644,2644.9,2642.55,2644.55,7562,0
23,2022-08-16T09:38:00+0530,2644.25,2644.55,2643.5,2644,5937,0
24,2022-08-16T09:39:00+0530,2644,2644.55,2643.1,2644.35,6698,0
25,2022-08-16T09:40:00+0530,2643.8,2644,2642.35,2643.7,8098,0
26,2022-08-16T09:41:00+0530,2643.8,2644,2640.15,2640.7,7708,0
27,2022-08-16T09:42:00+0530,2640.25,2641.55,2640.25,2641.4,5688,0
28,2022-08-16T09:43:00+0530,2640.85,2642,2639,2641.7,11303,0
29,2022-08-16T09:44:00+0530,2641.55,2643.15,2640.4,2642.65,12561,0
30,2022-08-16T09:45:00+0530,2643.15,2643.15,2640.45,2641,8030,0
31,2022-08-16T09:46:00+0530,2641.05,2641.85,2640.1,2641.85,7434,0
32,2022-08-16T09:47:00+0530,2641.85,2642.85,2640.85,2641.85,6145,0
33,2022-08-16T09:48:00+0530,2641.8,2643.7,2641.8,2642.55,6805,0
34,2022-08-16T09:49:00+0530,2642.55,2643.7,2642.15,2643.5,7111,0
35,2022-08-16T09:50:00+0530,2643,2645,2642.35,2643.65,8166,0
36,2022-08-16T09:51:00+0530,2643.8,2644.8,2643,2644.5,4750,0
37,2022-08-16T09:52:00+0530,2644.2,2644.5,2643.25,2643.65,4407,0
38,2022-08-16T09:53:00+0530,2643.4,2643.85,2641.55,2641.7,6495,0
39,2022-08-16T09:54:00+0530,2641.7,2644,2641.55,2644,6147,0
40,2022-08-16T09:55:00+0530,2643.95,2644,2642,2642.7,4471,0
41,2022-08-16T09:56:00+0530,2642.7,2642.95,2642,2642.5,6332,0
42,2022-08-16T09:57:00+0530,2642.5,2642.5,2640.2,2640.3,5554,0
43,2022-08-16T09:58:00+0530,2640.1,2640.95,2639.05,2640.95,6625,0
44,2022-08-16T09:59:00+0530,2640.85,2641,2640.5,2640.85,4833,0
